iter	Passed	Remaining
0	5	5029
1	10	5311
2	18	6087
3	24	6081
4	30	5995
5	35	5812
6	39	5648
7	44	5556
8	50	5578
9	56	5609
10	63	5741
11	68	5631
12	77	5857
13	83	5856
14	89	5852
15	92	5714
16	98	5712
17	104	5726
18	109	5652
19	114	5634
20	120	5639
21	125	5594
22	130	5564
23	136	5538
24	140	5495
25	146	5487
26	151	5471
27	156	5419
28	162	5453
29	167	5424
30	172	5394
31	178	5397
32	183	5384
33	188	5353
34	194	5350
35	199	5328
36	204	5320
37	210	5323
38	215	5305
39	220	5285
40	226	5307
41	231	5286
42	236	5264
43	243	5288
44	248	5271
45	253	5250
46	259	5262
47	264	5241
48	268	5216
49	275	5236
50	280	5221
51	285	5198
52	292	5225
53	298	5224
54	302	5204
55	309	5210
56	314	5206
57	319	5181
58	324	5175
59	330	5179
60	335	5167
61	341	5164
62	347	5172
63	353	5172
64	358	5156
65	366	5181
66	372	5185
67	378	5183
68	382	5167
69	389	5169
70	395	5177
71	400	5162
72	405	5149
73	411	5151
74	416	5137
75	422	5136
76	428	5132
77	433	5125
78	439	5119
79	445	5125
80	450	5107
81	455	5096
82	461	5097
83	466	5081
84	471	5076
85	478	5081
86	483	5076
87	488	5063
88	493	5048
89	497	5031
90	503	5031
91	509	5031
92	514	5022
93	519	5009
94	525	5005
95	530	4992
96	535	4981
97	541	4983
98	546	4974
99	551	4962
100	556	4954
101	561	4943
102	566	4935
103	571	4923
104	576	4913
105	582	4911
106	587	4900
107	592	4890
108	598	4890
109	605	4898
110	610	4891
111	615	4880
112	622	4882
113	626	4870
114	631	4857
115	637	4860
116	642	4851
117	647	4841
118	653	4839
119	658	4828
120	663	4820
121	671	4833
122	674	4811
123	680	4807
124	687	4814
125	694	4819
126	700	4816
127	705	4807
128	714	4822
129	719	4815
130	726	4820
131	733	4823
132	738	4812
133	745	4815
134	752	4820
135	760	4829
136	765	4824
137	770	4814
138	778	4820
139	792	4871
140	798	4862
